We can\'t add the item to Wish List right now.,We can\'t add the item to Wish List right now test.
We can\'t remove the item from Wish List right now.,We can\'t remove the item from Wish List right now.
This Order id does not belongs to customer,This Order id does not belongs to customer
Id required,Id required
product not found,product not found
Other,Other
Book,Book
Audio,Audio
Video,Video
Unlimited,Unlimited
We can\'t get Wishlist right now.,We can\'t get Wishlist right now.
Sku required,Sku required
